Component	Variance	Cumulative Variance
169            	0.000          	0.97           
170            	0.000          	0.97           
171            	0.000          	0.97           
172            	0.000          	0.97           
173            	0.000          	0.97           
174            	0.000          	0.97           
175            	0.000          	0.97           
176            	0.000          	0.97           
177            	0.000          	0.97           
178            	0.000          	0.97           
179            	0.000          	0.97           
180            	0.000          	0.97           
181            	0.000          	0.97           
182            	0.000          	0.97           
183            	0.000          	0.97           
184            	0.000          	0.97           
185            	0.000          	0.97           
186            	0.000          	0.97           
187            	0.000          	0.97           
188            	0.000          	0.97           
189            	0.000          	0.97           
190            	0.000          	0.97           
191            	0.000          	0.97           
192            	0.000          	0.98           
193            	0.000          	0.98           
194            	0.000          	0.98           
195            	0.000          	0.98           
196            	0.000          	0.98           
197            	0.000          	0.98           
198            	0.000          	0.98           
199            	0.000          	0.98           
200            	0.000          	0.98           
201            	0.000          	0.98           
202            	0.000          	0.98           
203            	0.000          	0.98           
204            	0.000          	0.98           
205            	0.000          	0.98           
206            	0.000          	0.98           
207            	0.000          	0.98           
208            	0.000          	0.98           
209            	0.000          	0.98           
210            	0.000          	0.98           
211            	0.000          	0.98           
212            	0.000          	0.98           
213            	0.000          	0.98           
214            	0.000          	0.98           
215            	0.000          	0.98           
216            	0.000          	0.98           
217            	0.000          	0.98           
218            	0.000          	0.98           
219            	0.000          	0.98           
220            	0.000          	0.98           
221            	0.000          	0.98           
222            	0.000          	0.98           
223            	0.000          	0.98           
224            	0.000          	0.98           
225            	0.000          	0.98           
226            	0.000          	0.98           
227            	0.000          	0.98           
228            	0.000          	0.98           
229            	0.000          	0.98           
230            	0.000          	0.98           
231            	0.000          	0.98           
232            	0.000          	0.98           
233            	0.000          	0.98           
234            	0.000          	0.98           
235            	0.000          	0.98           
236            	0.000          	0.98           
237            	0.000          	0.98           
238            	0.000          	0.98           
239            	0.000          	0.99           
240            	0.000          	0.99           
241            	0.000          	0.99           
242            	0.000          	0.99           
243            	0.000          	0.99           
244            	0.000          	0.99           
245            	0.000          	0.99           
246            	0.000          	0.99           
247            	0.000          	0.99           
248            	0.000          	0.99           
249            	0.000          	0.99           
250            	0.000          	0.99           
251            	0.000          	0.99           
252            	0.000          	0.99           
253            	0.000          	0.99           
254            	0.000          	0.99           
255            	0.000          	0.99           
256            	0.000          	0.99           
257            	0.000          	0.99           
258            	0.000          	0.99           
259            	0.000          	0.99           
260            	0.000          	0.99           
261            	0.000          	0.99           
262            	0.000          	0.99           
263            	0.000          	0.99           
264            	0.000          	0.99           
265            	0.000          	0.99           
266            	0.000          	0.99           
267            	0.000          	0.99           
268            	0.000          	0.99           
269            	0.000          	0.99           
270            	0.000          	0.99           
271            	0.000          	0.99           
272            	0.000          	0.99           
273            	0.000          	0.99           
274            	0.000          	0.99           
275            	0.000          	0.99           
276            	0.000          	0.99           
277            	0.000          	0.99           
278            	0.000          	0.99           
279            	0.000          	0.99           
280            	0.000          	0.99           
281            	0.000          	0.99           
282            	0.000          	0.99           
283            	0.000          	0.99           
284            	0.000          	0.99           
285            	0.000          	0.99           
286            	0.000          	0.99           
287            	0.000          	0.99           
288            	0.000          	0.99           
289            	0.000          	0.99           
290            	0.000          	0.99           
291            	0.000          	0.99           
292            	0.000          	0.99           
293            	0.000          	0.99           
294            	0.000          	0.99           
295            	0.000          	0.99           
296            	0.000          	0.99           
297            	0.000          	0.99           
298            	0.000          	0.99           
299            	0.000          	0.99           
300            	0.000          	0.99           
301            	0.000          	0.99           
302            	0.000          	0.99           
303            	0.000          	0.99           
304            	0.000          	0.99           
305            	0.000          	0.99           
306            	0.000          	0.99           
307            	0.000          	0.99           
308            	0.000          	0.99           
309            	0.000          	0.99           
310            	0.000          	0.99           
311            	0.000          	0.99           
312            	0.000          	0.99           
313            	0.000          	0.99           
314            	0.000          	0.99           
315            	0.000          	0.99           
316            	0.000          	0.99           
317            	0.000          	0.99           
318            	0.000          	0.99           
319            	0.000          	0.99           
320            	0.000          	0.99           
321            	0.000          	0.99           
322            	0.000          	0.99           
323            	0.000          	0.99           
324            	0.000          	0.99           
325            	0.000          	0.99           
326            	0.000          	0.99           
327            	0.000          	1.00           
328            	0.000          	1.00           
329            	0.000          	1.00           
330            	0.000          	1.00           
331            	0.000          	1.00           
332            	0.000          	1.00           
333            	0.000          	1.00           
334            	0.000          	1.00           
335            	0.000          	1.00           
336            	0.000          	1.00           
337            	0.000          	1.00           
338            	0.000          	1.00           
339            	0.000          	1.00           
340            	0.000          	1.00           
341            	0.000          	1.00           
342            	0.000          	1.00           
343            	0.000          	1.00           
344            	0.000          	1.00           
345            	0.000          	1.00           
346            	0.000          	1.00           
347            	0.000          	1.00           
348            	0.000          	1.00           
349            	0.000          	1.00           
350            	0.000          	1.00           
351            	0.000          	1.00           
352            	0.000          	1.00           
353            	0.000          	1.00           
354            	0.000          	1.00           
355            	0.000          	1.00           
356            	0.000          	1.00           
357            	0.000          	1.00           
358            	0.000          	1.00           
359            	0.000          	1.00           
360            	0.000          	1.00           
361            	0.000          	1.00           
362            	0.000          	1.00           
363            	0.000          	1.00           
364            	0.000          	1.00           
365            	0.000          	1.00           
366            	0.000          	1.00           
367            	0.000          	1.00           
368            	0.000          	1.00           
369            	0.000          	1.00           
370            	0.000          	1.00           
371            	0.000          	1.00           
372            	0.000          	1.00           
373            	0.000          	1.00           
374            	0.000          	1.00           
375            	0.000          	1.00           
376            	0.000          	1.00           
377            	0.000          	1.00           
378            	0.000          	1.00           
379            	0.000          	1.00           
380            	0.000          	1.00           
381            	0.000          	1.00           
382            	0.000          	1.00           
383            	0.000          	1.00           
384            	0.000          	1.00           
385            	0.000          	1.00           
386            	0.000          	1.00           
387            	0.000          	1.00           
388            	0.000          	1.00           
389            	0.000          	1.00           
390            	0.000          	1.00           
391            	0.000          	1.00           
392            	0.000          	1.00           
393            	0.000          	1.00           
394            	0.000          	1.00           
395            	0.000          	1.00           
396            	0.000          	1.00           
397            	0.000          	1.00           
398            	0.000          	1.00           
399            	0.000          	1.00           
400            	0.000          	1.00           
401            	0.000          	1.00           
402            	0.000          	1.00           
403            	0.000          	1.00           
404            	0.000          	1.00           
405            	0.000          	1.00           
406            	0.000          	1.00           
407            	0.000          	1.00           
408            	0.000          	1.00           
409            	0.000          	1.00           
410            	0.000          	1.00           
411            	0.000          	1.00           
412            	0.000          	1.00           
413            	0.000          	1.00           
414            	0.000          	1.00           
415            	0.000          	1.00           
416            	0.000          	1.00           
417            	0.000          	1.00           
418            	0.000          	1.00           
419            	0.000          	1.00           
420            	0.000          	1.00           
421            	0.000          	1.00           
422            	0.000          	1.00           
423            	0.000          	1.00           
424            	0.000          	1.00           
425            	0.000          	1.00           
426            	0.000          	1.00           
427            	0.000          	1.00           
428            	0.000          	1.00           
429            	0.000          	1.00           
430            	0.000          	1.00           
431            	0.000          	1.00           
432            	0.000          	1.00           
433            	0.000          	1.00           
434            	0.000          	1.00           
435            	0.000          	1.00           
436            	0.000          	1.00           
437            	0.000          	1.00           
438            	0.000          	1.00           
439            	0.000          	1.00           
440            	0.000          	1.00           
441            	0.000          	1.00           
442            	0.000          	1.00           
443            	0.000          	1.00           
444            	0.000          	1.00           
445            	0.000          	1.00           
446            	0.000          	1.00           
447            	0.000          	1.00           
448            	0.000          	1.00           
449            	0.000          	1.00           
450            	0.000          	1.00           
451            	0.000          	1.00           
452            	0.000          	1.00           
453            	0.000          	1.00           
454            	0.000          	1.00           
455            	0.000          	1.00           
456            	0.000          	1.00           
457            	0.000          	1.00           
458            	0.000          	1.00           
459            	0.000          	1.00           
460            	0.000          	1.00           
461            	0.000          	1.00           
462            	0.000          	1.00           
463            	0.000          	1.00           
464            	0.000          	1.00           
465            	0.000          	1.00           
466            	0.000          	1.00           
467            	0.000          	1.00           
468            	0.000          	1.00           
469            	0.000          	1.00           
470            	0.000          	1.00           
471            	0.000          	1.00           
472            	0.000          	1.00           
473            	0.000          	1.00           
474            	0.000          	1.00           
475            	0.000          	1.00           
476            	0.000          	1.00           
477            	0.000          	1.00           
478            	0.000          	1.00           
479            	0.000          	1.00           
480            	0.000          	1.00           
481            	0.000          	1.00           
482            	0.000          	1.00           
483            	0.000          	1.00           
484            	0.000          	1.00           
485            	0.000          	1.00           
486            	0.000          	1.00           
487            	0.000          	1.00           
488            	0.000          	1.00           
489            	0.000          	1.00           
490            	0.000          	1.00           
491            	0.000          	1.00           
492            	0.000          	1.00           
493            	0.000          	1.00           
494            	0.000          	1.00           
495            	0.000          	1.00           
496            	0.000          	1.00           
497            	0.000          	1.00           
498            	0.000          	1.00           
499            	0.000          	1.00           
500            	0.000          	1.00           
501            	0.000          	1.00           
502            	0.000          	1.00           
503            	0.000          	1.00           
504            	0.000          	1.00           
505            	0.000          	1.00           
506            	0.000          	1.00           
507            	0.000          	1.00           
508            	0.000          	1.00           
509            	0.000          	1.00           
510            	0.000          	1.00           
511            	0.000          	1.00           
512            	0.000          	1.00           
513            	0.000          	1.00           
514            	0.000          	1.00           
515            	0.000          	1.00           
516            	0.000          	1.00           
517            	0.000          	1.00           
518            	0.000          	1.00           
519            	0.000          	1.00           
520            	0.000          	1.00           
521            	0.000          	1.00           
522            	0.000          	1.00           
523            	0.000          	1.00           
524            	0.000          	1.00           
525            	0.000          	1.00           
526            	0.000          	1.00           
527            	0.000          	1.00           
528            	0.000          	1.00           
529            	0.000          	1.00           
530            	0.000          	1.00           
531            	0.000          	1.00           
532            	0.000          	1.00           
533            	0.000          	1.00           
534            	0.000          	1.00           
535            	0.000          	1.00           
536            	0.000          	1.00           
537            	0.000          	1.00           
538            	0.000          	1.00           
539            	0.000          	1.00           
540            	0.000          	1.00           
541            	0.000          	1.00           
542            	0.000          	1.00           
543            	0.000          	1.00           
544            	0.000          	1.00           
545            	0.000          	1.00           
546            	0.000          	1.00           
547            	0.000          	1.00           
548            	0.000          	1.00           
549            	0.000          	1.00           
550            	0.000          	1.00           
551            	0.000          	1.00           
552            	0.000          	1.00           
553            	0.000          	1.00           
554            	0.000          	1.00           
555            	0.000          	1.00           
556            	0.000          	1.00           
557            	0.000          	1.00           
558            	0.000          	1.00           
559            	0.000          	1.00           
560            	0.000          	1.00           
561            	0.000          	1.00           
562            	0.000          	1.00           
563            	0.000          	1.00           
564            	0.000          	1.00           
565            	0.000          	1.00           
566            	0.000          	1.00           
567            	0.000          	1.00           
568            	0.000          	1.00           
569            	0.000          	1.00           
570            	0.000          	1.00           
571            	0.000          	1.00           
572            	0.000          	1.00           
573            	0.000          	1.00           
574            	0.000          	1.00           
575            	0.000          	1.00           
576            	0.000          	1.00           
577            	0.000          	1.00           
578            	0.000          	1.00           
579            	0.000          	1.00           
580            	0.000          	1.00           
581            	0.000          	1.00           
582            	0.000          	1.00           
583            	0.000          	1.00           
584            	0.000          	1.00           
585            	0.000          	1.00           
586            	0.000          	1.00           
587            	0.000          	1.00           
588            	0.000          	1.00           
589            	0.000          	1.00           
590            	0.000          	1.00           
591            	0.000          	1.00           
592            	0.000          	1.00           
593            	0.000          	1.00           
594            	0.000          	1.00           
595            	0.000          	1.00           
596            	0.000          	1.00           
597            	0.000          	1.00           
598            	0.000          	1.00           
599            	0.000          	1.00           
600            	0.000          	1.00           
601            	0.000          	1.00           
602            	0.000          	1.00           
603            	0.000          	1.00           
604            	0.000          	1.00           
605            	0.000          	1.00           
606            	0.000          	1.00           
607            	0.000          	1.00           
608            	0.000          	1.00           
609            	0.000          	1.00           
610            	0.000          	1.00           
611            	0.000          	1.00           
612            	0.000          	1.00           
613            	0.000          	1.00           
614            	0.000          	1.00           
615            	0.000          	1.00           
616            	0.000          	1.00           
617            	0.000          	1.00           
618            	0.000          	1.00           
619            	0.000          	1.00           
620            	0.000          	1.00           
621            	0.000          	1.00           
622            	0.000          	1.00           
623            	0.000          	1.00           
624            	0.000          	1.00           
625            	0.000          	1.00           
626            	0.000          	1.00           
627            	0.000          	1.00           
628            	0.000          	1.00           
629            	0.000          	1.00           
630            	0.000          	1.00           
631            	0.000          	1.00           
632            	0.000          	1.00           
633            	0.000          	1.00           
634            	0.000          	1.00           
635            	0.000          	1.00           
636            	0.000          	1.00           
637            	0.000          	1.00           
638            	0.000          	1.00           
639            	0.000          	1.00           
640            	0.000          	1.00           
641            	0.000          	1.00           
642            	0.000          	1.00           
643            	0.000          	1.00           
644            	0.000          	1.00           
645            	0.000          	1.00           
646            	0.000          	1.00           
647            	0.000          	1.00           
648            	0.000          	1.00           
649            	0.000          	1.00           
650            	0.000          	1.00           
651            	0.000          	1.00           
652            	0.000          	1.00           
653            	0.000          	1.00           
654            	0.000          	1.00           
655            	0.000          	1.00           
656            	0.000          	1.00           
657            	0.000          	1.00           
658            	0.000          	1.00           
659            	0.000          	1.00           
660            	0.000          	1.00           
661            	0.000          	1.00           
662            	0.000          	1.00           
663            	0.000          	1.00           
664            	0.000          	1.00           
665            	0.000          	1.00           
666            	0.000          	1.00           
667            	0.000          	1.00           
668            	0.000          	1.00           
669            	0.000          	1.00           
670            	0.000          	1.00           
671            	0.000          	1.00           
672            	0.000          	1.00           
673            	0.000          	1.00           
674            	0.000          	1.00           
675            	0.000          	1.00           
676            	0.000          	1.00           
677            	0.000          	1.00           
678            	0.000          	1.00           
679            	0.000          	1.00           
680            	0.000          	1.00           
681            	0.000          	1.00           
682            	0.000          	1.00           
683            	0.000          	1.00           
684            	0.000          	1.00           
685            	0.000          	1.00           
686            	0.000          	1.00           
687            	0.000          	1.00           
688            	0.000          	1.00           
689            	0.000          	1.00           
690            	0.000          	1.00           
691            	0.000          	1.00           
692            	0.000          	1.00           
693            	0.000          	1.00           
694            	0.000          	1.00           
695            	0.000          	1.00           
696            	0.000          	1.00           
697            	0.000          	1.00           
698            	0.000          	1.00           
699            	0.000          	1.00           
700            	0.000          	1.00           
701            	0.000          	1.00           
702            	0.000          	1.00           
703            	0.000          	1.00           
704            	0.000          	1.00           
705            	0.000          	1.00           
706            	0.000          	1.00           
707            	0.000          	1.00           
708            	0.000          	1.00           
709            	0.000          	1.00           
710            	0.000          	1.00           
711            	0.000          	1.00           
712            	0.000          	1.00           
713            	0.000          	1.00           
714            	0.000          	1.00           
715            	0.000          	1.00           
716            	0.000          	1.00           
717            	0.000          	1.00           
718            	0.000          	1.00           
719            	0.000          	1.00           
720            	0.000          	1.00           
721            	0.000          	1.00           
722            	0.000          	1.00           
723            	0.000          	1.00           
724            	0.000          	1.00           
725            	0.000          	1.00           
726            	0.000          	1.00           
727            	0.000          	1.00           
728            	0.000          	1.00           
729            	0.000          	1.00           
730            	0.000          	1.00           
731            	0.000          	1.00           
732            	0.000          	1.00           
733            	0.000          	1.00           
734            	0.000          	1.00           
735            	0.000          	1.00           
736            	0.000          	1.00           
737            	0.000          	1.00           
738            	0.000          	1.00           
739            	0.000          	1.00           
740            	0.000          	1.00           
741            	0.000          	1.00           
742            	0.000          	1.00           
743            	0.000          	1.00           
744            	0.000          	1.00           
745            	0.000          	1.00           
746            	0.000          	1.00           
747            	0.000          	1.00           
748            	0.000          	1.00           
749            	0.000          	1.00           
750            	0.000          	1.00           
751            	0.000          	1.00           
752            	0.000          	1.00           
753            	0.000          	1.00           
754            	0.000          	1.00           
755            	0.000          	1.00           
756            	0.000          	1.00           
757            	0.000          	1.00           
758            	0.000          	1.00           
759            	0.000          	1.00           
760            	0.000          	1.00           
761            	0.000          	1.00           
762            	0.000          	1.00           
763            	0.000          	1.00           
764            	0.000          	1.00           
765            	0.000          	1.00           
766            	0.000          	1.00           
767            	0.000          	1.00           
768            	0.000          	1.00           
769            	0.000          	1.00           
770            	0.000          	1.00           
771            	0.000          	1.00           
772            	0.000          	1.00           
773            	0.000          	1.00           
774            	0.000          	1.00           
775            	0.000          	1.00           
776            	0.000          	1.00           
777            	0.000          	1.00           
778            	0.000          	1.00           
779            	0.000          	1.00           
780            	0.000          	1.00           
781            	0.000          	1.00           
782            	0.000          	1.00           
783            	0.000          	1.00           
784            	0.000          	1.00           
